iter	MAPE
0	0.4670561001
1	0.4544032808
2	0.4421083651
3	0.4298715259
4	0.4167696907
5	0.4046677845
6	0.3934143861
7	0.3816475557
8	0.3718109656
9	0.3615460613
10	0.3522122967
11	0.341634028
12	0.3319184744
13	0.3229326103
14	0.3140871225
15	0.3054144782
16	0.2970680227
17	0.2893278423
18	0.2813741934
19	0.2736200396
20	0.2659272989
21	0.2593014899
22	0.2527951453
23	0.2455936451
24	0.2395674455
25	0.2336155605
26	0.2282730029
27	0.2227509871
28	0.21731198
29	0.2126781563
30	0.2077468605
31	0.2023205565
32	0.1979494155
33	0.1923600764
34	0.1877599011
35	0.1836993038
36	0.1792586494
37	0.1752466281
38	0.1712755321
39	0.1673791329
40	0.1634800566
41	0.16020283
42	0.1569760984
43	0.1534851535
44	0.1506359359
45	0.1474846332
46	0.1442116425
47	0.1415956194
48	0.1392004324
49	0.1367511405
50	0.1344383762
51	0.1321937453
52	0.1300753024
53	0.1280170529
54	0.1261097814
55	0.1243061201
56	0.1224868751
57	0.1208038307
58	0.1191386469
59	0.117495995
60	0.1152675053
61	0.1137180009
62	0.1123086197
63	0.1109369629
64	0.1093973754
65	0.1081038206
66	0.1068972671
67	0.1057882042
68	0.1048257749
69	0.103713337
70	0.1025766869
71	0.1015678828
72	0.1006363373
73	0.09971825546
74	0.0989490473
75	0.09808346867
76	0.0972334756
77	0.09648569611
78	0.09583462915
79	0.09520206363
80	0.09449696285
81	0.09387288225
82	0.09328181456
83	0.0926979569
84	0.09215381186
85	0.09169129456
86	0.09119733625
87	0.09073435054
88	0.09025973002
89	0.08981179802
90	0.08938431736
91	0.0889163905
92	0.08846981871
93	0.08768313996
94	0.08751563319
95	0.08670408663
96	0.08654742102
97	0.0857894493
98	0.08564346226
99	0.08475346713
100	0.08449293635
101	0.08385426933
102	0.08324209732
103	0.08236117212
104	0.08171739933
105	0.08099121847
106	0.08038731189
107	0.08020517222
108	0.07949986758
109	0.07907516376
110	0.07899410352
111	0.07840669753
112	0.07781526409
113	0.07709194011
114	0.07669555572
115	0.07608223566
116	0.07548013744
117	0.07495797025
118	0.07435327826
119	0.07378967209
120	0.07313177608
121	0.07249603617
122	0.07197655075
123	0.07136986556
124	0.07089256103
125	0.07077686567
126	0.07016830432
127	0.06957177317
128	0.06893678558
129	0.0684692158
130	0.06790980469
131	0.06740606113
132	0.06689452934
133	0.06640045624
134	0.065929355
135	0.06539439331
136	0.06498675299
137	0.06456880482
138	0.06418049771
139	0.06380418548
140	0.06339839169
141	0.06303997052
142	0.06261758029
143	0.06229856432
144	0.06186979586
145	0.06154485982
146	0.06119234596
147	0.06081030857
148	0.06048711804
149	0.06006403107
150	0.05967121015
151	0.05940307952
152	0.05906268363
153	0.0586559908
154	0.0582384145
155	0.05783496709
156	0.05753596954
157	0.05724065377
158	0.05694746786
159	0.05657654613
160	0.05633300646
161	0.05594053964
162	0.05556385417
163	0.05525678785
164	0.05492676331
165	0.05462913727
166	0.05438392291
167	0.05414083285
168	0.05380326107
169	0.05354863239
170	0.05325467748
171	0.05316738396
172	0.05285146973
173	0.05257017586
174	0.05235134093
175	0.05211071966
176	0.05180642414
177	0.05158305149
178	0.05157200461
179	0.05125624045
180	0.05093592406
181	0.05062077946
182	0.05034035913
183	0.05008550224
184	0.04978618667
185	0.04953717435
186	0.04921234371
187	0.0489310284
188	0.04869455225
189	0.04864931623
190	0.04840746178
191	0.04810718741
192	0.0478553747
193	0.04761878792
194	0.04731098034
195	0.04708740869
196	0.04684617713
197	0.04670090648
198	0.04633301279
199	0.04597739684
200	0.04569525625
201	0.04545389874
202	0.04523732433
203	0.04498851142
204	0.04481632036
205	0.04459722438
